We're far from being partners: Russia on ties with Japan,"Russia and Japan are still ""far from being partners in international relations"", Russian Foreign Minister Sergey Lavrov has said. His statement came amid the talks between the two countries to end the dispute over the Kuril Islands near Japan which was seized by the Soviet forces at the end of World War II."
Took me years to realise I was sexually harassed by director: Swara,"Actress Swara Bhasker has revealed that she was sexually harassed by a director at workplace but it took her six to eight years to realise what exactly had happened. ""There is so much of culture of silence...around the issue of sexual harassment...that we are just going through our lives without recognising it properly. We just recognise the discomfort,"" she added. "
Once bought coriander worth Ã¢Â‚Â¹200 to make money: Nawazuddin,"Sharing an anecdote from his cash-strapped days, Nawazuddin Siddiqui revealed he had once bought bunches of coriander worth Ã¢Â‚Â¹200 from a wholesaler to sell and make money. He further said the leaves turned brown and no one would buy them, adding, ""I confronted the seller, who explained that I should have sprinkled water on the leaves to keep them fresh."""
I wasn't allowed to wash my hair for Game of Thrones filming: Turner,"British actress Sophie Turner revealed she wasn't allowed to wash her hair towards the filming of Season 5 of 'Game of Thrones' and it was ""really disgusting"". ""For the first few seasons, I was allowed to wash my hair because I was an aristocratic young girl,"" she said. ""For a couple of years I had pretty greasy hair,"" she added. "
'Uri' leaked online despite makers' attempt to curb piracy,"Vicky Kaushal and Yami Gautam's 'Uri: The Surgical Strike' has been leaked online despite the makers' attempt to curb piracy. To check the illegal download, the makers had earlier uploaded a fake 3.8 GB video file on Torrent which showed Vicky and Yami's characters telling the viewers to watch the movie in theatres. The film released on January 11."
Saurashtra record highest successful chase in Ranji Trophy history,"Saurashtra chased down 372-run target against Uttar Pradesh in the quarter-finals to record the highest successful run chase in Ranji Trophy history. Opener Harvik Desai hit 116, while Cheteshwar Pujara and Sheldon Jackson scored unbeaten fifties to help Saurashtra win. The previous highest successful chase was recorded by Assam, who chased down 371-run target against Services in the 2008-09 season. "
I pick my team based on penis size: Female coach on sexist question,"German female coach Imke Wubbenhorst, who manages BV Cloppenburg in the fifth tier of German football, revealed she was once asked by a journalist whether she warns her players to put...pants on when she enters dressing room. She added her response to it was, ""Of course not, I'm a professional. I pick my players based on their penis size."" "
"What Pak couldn't do in 70yrs, PM Modi, Shah did in 5yrs: Delhi CM","During his speech at opposition rally in Kolkata, Delhi CM Arvind Kejriwal said, ""What Pakistan could not achieve in 70 years since India's independence, Narendra Modi and Amit Shah have achieved in five years."" ""They have turned Hindus against Muslims, Muslims against Christians. If they return to power, the country will disintegrate,"" he asserted, urging people to vote out BJP."
"If you want to become SDM, make BJP win: MP collector to her deputy","A WhatsApp chat purportedly between a Madhya Pradesh district collector and her deputy, in which the former asked the latter to ensure BJP's victory in an assembly seat, has gone viral. ""I want Congress [swept out] completely. If you want to become SDM, then make the BJP win,"" the messages read. Both the women have called the chat ""fake""."
Tesla investors may subpoena Grimes in lawsuit against Musk,"A California court has granted permission to subpoena musicians Grimes and Azealia Banks in the ongoing lawsuit against Tesla CEO Elon Musk by some shareholders. Grimes was in a relationship with Musk while Banks claimed she was staying at his place when the ""funding secured"" tweet was posted. The SEC earlier alleged Musk had posted the tweet to impress Grimes."
Men in govt list of women under 50 entering Sabarimala: Report,"Several persons are older women and some are men in Kerala government's list of 51 women below the age of 50 who allegedly entered Sabarimala temple, a report claimed. At least three on the list, Deivasigamani, Kalavathi and Paranjyoti, are men, while many women claim they wrote the wrong age while registering online. The list was submitted in Supreme Court."
India protests against Pak Supreme Court ruling on Gilgit-Baltistan,"India on Friday protested against an order by Pakistan's Supreme Court extending its jurisdiction over Gilgit-Baltistan in Pakistan-occupied Kashmir (PoK), calling it an interference in India's internal affairs. India summoned Pakistan's Deputy High Commissioner to protest against the order. ""Pakistan Government or judiciary have no locus standi on territories illegally and forcibly occupied by it,"" the External Affairs Ministry said."
Man who asked Rajini 'Who are you?' held for anti-Sterlite protests,"Tuticorin student leader Santhosh Raj, who asked Rajinikanth ""Who are you?"" when the actor visited him in hospital, has been arrested for allegedly distributing anti-Sterlite pamphlets in his college. The 22-year-old was severely injured in the Tuticorin firing that took place on May 22, 2018, and was admitted to hospital. Santhosh had clarified that he didn't mean to insult Rajinikanth."
UP Police give Ã¢Â‚Â¹70 lakh to family of inspector killed in violence,"The family of inspector Subodh Kumar Singh, who was killed in Bulandshahr mob violence, on Friday received a sum of Ã¢Â‚Â¹70 lakh from Uttar Pradesh police, Meerut Zone ADG Prashant Kumar confirmed. The incident happened on December 3 when a mob became violent after the carcasses of around 25 cattle were found in a forest close to a police post."
Gurugram rape victim shot dead for not withdrawing case,"A man working at a night club as a bouncer allegedly shot dead a 22-year-old woman on Saturday for not withdrawing a rape case filed by her against him. The woman, who was working with the accused in the same night club, was shot just a few hours before she was to record her statement in court, police said."
MP woman's head severed as she leans out of bus to vomit,"The head of a 56-year-old woman was smashed and severed after hitting an electric pole when she leaned out of a window of a rashly-driven bus to vomit in Madhya Pradesh on Friday. ""We have arrested the bus driver for rash driving and impounded the vehicle,"" police said. The woman was travelling from Satna district to Panna district."
Former US policeman who shot black teen 16 times jailed for 7 years,"A former US policeman who shot a black teenager 16 times in 2014 has been sentenced to nearly 7 years in jail. The 17-year-old was shot dead by Jason Van Dyke after he refused to follow Dyke's command to drop a knife that he was holding. During the trial, Dyke argued for his innocence, insisting that he acted in self-defence."
Ex-US Prez Bush delivers pizza to unpaid Secret Service personnel,"Former US President George W Bush delivered pizzas to thank his Secret Service detail for continuing to work without pay amid the ongoing partial government shutdown. Bush posted a photo on Instagram, adding that it was time for both Republican and Democratic leaders to put politics aside and come together to end the longest shutdown in US history."
"Car driven by 86-year-old flies through air, smashes into 2 homes","The US police have released a CCTV footage showing an out-of-control car in Colorado driving off a highway, becoming briefly airborne and smashing into two houses. The vehicle smashed through one home's garage before plowing into a second. Police said the vehicle was being driven by an 86-year-old man who ""had medical issues prior to the car going off roadway""."
"Girls twerk atop moving car on US highway, video goes viral","A video of two girls twerking on the roof of an SUV on a highway in the US has gone viral. In another video, the girls were seen climbing back into the SUV through the back window. The woman who recorded both the videos said she posted the video on Facebook ""in hopes that they would get caught""."
"Priyanka, Nick to attend Jaden's debut show in India: Report","Priyanka Chopra and Nick Jonas will be attending Will Smith's son and rapper Jaden Smith's first-ever concert in India, as per reports. Jaden will perform at the VH1 Supersonic festival to be held in Pune on February 16-17. Nick is Jaden's good friend, so he wants to be with the latter at his debut performance in India, reports said."
"Cardi B, Camila Cabello to perform at the Grammy Awards 2019","The Recording Academy has announced a list of artistes who will be performing at the Grammy Awards 2019 and the list includes Camila Cabello, Cardi B, Dan + Shay, Post Malone, Shawn Mendes, Janelle MonÃƒÂ¡e and Kacey Musgraves. They are all nominated at the awards, the recording academy said in a statement. Singer Alicia Keys will be hosting the Awards."
Prabhas to perform with BeyoncÃƒÂ©'s dancers in 'Saaho': Report,"'Baahubali' actor Prabhas will be reportedly performing with French dancers 'Les Twins', who are known for performing with BeyoncÃƒÂ© in her songs. Prabhas will be seen dancing with them in a song from his upcoming film 'Saaho' which also stars Shraddha Kapoor, reports suggested. Hundreds of Brazilian dancers will also feature in the song, as per reports."
John Carney's 'Begin Again' to get its Bollywood adaptation,"John Carney's 2013 film 'Begin Again' starring Mark Ruffalo, Keira Knightley, Hailee Steinfeld and Adam Levine will get its Bollywood adaptation which will be directed by 'Veere Di Wedding' director Shashanka Ghosh and co-produced by Bhushan Kumar. ""We want to tell a story about the world of music and fresh voices in sound on the Indian scene,"" said Ghosh."
Lyon needs to develop something else: Shane Warne,"Speaking about Australian spinner Nathan Lyon, former spinner Shane Warne said that Lyon needs to develop 'something else' if he wants to become a white-ball cricketer. ""He [Lyon] just needs to develop a faster one or a top-spinner or something that goes the other way to be successful in this form of the game,"" Warne added."
Faulkner hits 16 off last over's 1st 3 balls to win BBL game,"Hobart Hurricanes' Australian cricketer James Faulkner hit Perth Scorchers' Andrew Tye for two sixes and a four on the first three balls of the final over to claim a win for his side on Friday. Faulkner ended up scoring 28 runs in 20 balls. Earlier in the match, Faulkner had picked three wickets with his first seven balls. "
Saina crashes out of Malaysia Masters after loss to Marin ,"Saina Nehwal's run at the Malaysia Masters came to an end following her straight-game loss to reigning Olympic and world champion Carolina Marin of Spain in the women's singles semifinals on Saturday. Before the match, the head-to-head between the two players read 5-5. The 28-year-old Indian shuttler had last won the Malaysia Masters title in 2017."
Trump lends support to anti-abortion demonstrators in US,"US President Donald Trump lent his support to anti-abortion demonstrators in Washington on Friday. Trump vowed to veto any legislation that ""weakens the protection of human life"". In a pre-recorded video, Trump told the demonstrators that he ""will always defend the first right in our Declaration of Independence, the right to life"", which he said extended to ""unborn children""."
Factually incorrect: Govt on report claiming 41% rise in Rafale cost,"The Defence Ministry on Friday called a news report 'factually incorrect' which said the government's decision to buy only 36 Rafale fighter jets increased the price of each aircraft by 41%. The MoD said the issues raised by the article, which compared the 2007 un-escalated price with 2016 price, have been answered by Defence Minister Nirmala Sitharaman in the Parliament."
No one is more committed to Indian cricket than Dhoni: Virat Kohli,"Following India's ODI series victory against Australia, Team India captain Virat Kohli said that there is no one more committed to Indian cricket than MS Dhoni. ""People should let him have his space because he has contributed so much for the nation,"" Kohli added. ""As a team we are totally in sync with what he is doing,"" Kohli further said."
Gavaskar criticises Australia for no prize money to India after win,"Ex-India captain Sunil Gavaskar criticised hosts Australia for not honouring India with cash award for their ODI series victory. ""The organisers earn so much...through broadcast rights. Why can't they give good prize money?"" he asked. India were just presented with a trophy, while cash awards for Man of the Match and Man of the Series were donated to charity.  "
"After removal from CBI, Rakesh Asthana made aviation security chief","After the Appointments Committee of the Cabinet curtailed his tenure as the CBI Special Director, Rakesh Asthana has been appointed as the chief of Bureau of Civil Aviation Security. Asthana and three other CBI officers' tenure was cut short with immediate effect. Last week, CBI Director Alok Verma was moved to fire services department, following which Verma announced his resignation."
MS Dhoni is a superstar and an all-time great: Justin Langer,"Talking about MS Dhoni, who slammed three consecutive fifties in the ODI series against Australia and won Man of the Series, Australia head coach Justin Langer said, ""Dhoni is 37 years old. His fitness is elite. He is a superstar of the game and thatÃ¢Â€Â™s what Australians should be aspiring to be. He is literally an all-time great,"" Langer added."
"Ball uthaya toh bolega retirement ke liye uthaya hai, jokes Dhoni","MS Dhoni took the match ball with him following India's ODI series victory against Australia on Friday. While shaking hands with players and support staff, Dhoni gave it to batting coach Sanjay Bangar and said, ""Ball uthaya toh bolega retirement ke liye uthaya hai."" Following ODI series loss against England last year, Dhoni had taken the ball, sparking retirement rumours."
"Parthiv takes 10-year challenge, posts same picture for both years","Wicketkeeper-batsman Parthiv Patel shared a collage of himself on Instagram having same pictures as part of the '10-year challenge', wherein users share their pictures from 2009 and 2019. Reacting to Parthiv's post, a user commented, ""Forever young."" Other users wrote, ""Rishabh Pant, would you like to babysit him?"" and ""Even if you go back to 20 years...this guy looked same!"""
34-yr-old reporter who exposed African football corruption shot dead,"Ahmed Hussein-Suale, a Ghanaian journalist, who helped expose corruption in African football has been shot dead in Ghana's Accra. The 34-year-old was part of a team led by award-winning journalist Anas Aremeyaw Anas, whose investigation led to the resignation of Ghana Football Association head. Kwesi Nyantakyi, the ex-head of the association, was banned for life and fined $500,000 by FIFA."
This is not the Hardik Pandya I once knew: Rumoured ex-girlfriend,"Reacting to Hardik Pandya's comments on women on 'Koffee with Karan', the cricketer's rumoured ex-girlfriend Elli AvrRam said, ""I got...surprised because that's not really the Hardik Pandya I personally once used to know."" ""It's great that people are...putting their foot down on [such] behaviour because it's about time we all realise...such mentality is not cool,"" she added."
PM Modi will be another MP after 6 months: Prakash Raj,"Actor Prakash Raj, who recently announced his entry into politics, has said, ""After six months PM Narendra Modi will be another MP. We did like him when he was elected... But what happened to the jobs he promised?"" Raj added, ""BJP say they're going to be here for 50 years. Who are they? The citizens of this country will decide."""
"Days after BJP, Congress moves its Karnataka MLAs to a resort","Days after Karnataka BJP flew over 100 MLAs to a Gurugram resort amid poaching allegations, Congress also took its state MLAs to a resort allegedly after three MLAs skipped its party meet without prior notice. ""We're not going to leave (the party), we're working together well...it would be a one-day stay probably, a show of strength,"" MLA Sowmya Reddy said."
Japan launches satellite for world's 1st artificial meteor shower,"Japan Aerospace Exploration Agency has launched Tokyo-based startup Star-ALE's mini-satellite aimed to deliver the world's first artificial meteor shower. The satellite carries 400 tiny balls, which the startup says will be enough for 20-30 events, that will glow as they rush down the atmosphere on being released. ALE plans to deliver its first show in Hiroshima in early 2020. "
Families fail to identify Meghalaya mine victim's body,Family members of at least five of the 15 people trapped inside a coal mine in Meghalaya failed to identify the decomposed body of a victim on Friday. They were shown videos captured by remotely-operated vehicle (ROV) underwater at a depth of around 160 feet for identification. The body was not pulled out of water fearing disintegration of body parts.
"Manager dies in burning car, police say he failed to open seat belt","The charred body of a telecom company's 39-year-old manager named Madhav Chaturvedi was recovered from his completely burnt Hyundai i20 car in Punjab's Mohali on Thursday. Police said Chaturvedi tried to get out of the car, but apparently got stuck due to seat belt. Chaturvedi's legs were out of the car, indicating he tried to leave the car, police added."
Hairdresser saves man's life by spotting cancerous lump on his ear,"UK's 54-year-old Adam Shatford, father to three children, has thanked 42-year-old hairdresser Erinna Lindfield after she spotted a lump on his left ear and advised him to see a doctor. Adam was later diagnosed with stage three melanoma and doctors discovered more cancerous lumps on his forehead. Doctors declared him healthy after surgery to remove the lumps and lymph nodes. "
"2nd summit between Trump, N Korea's Kim to be held in February","The White House on Friday announced that US President Donald Trump would hold a second summit with North Korean leader Kim Jong-un in late February. White House spokesperson Sarah Sanders said the location of the summit would be announced later. She added that the US ""is going to continue to keep pressure and sanctions on North Korea""."
"If I were Finance Minister, I'd quit: Chidambaram on state of economy","Senior Congress leader P Chidambaram has said that India's economy was in a ""perilous state"" and that he would have resigned had he been the Finance Minister. ""Nothing the government will do in the next 60 days will alter the status of the economy,"" the former Finance Minister said, adding the government would miss the fiscal deficit target of 3.3%."
"CEO of JPMorgan, which posted $32bn profit in 2018, gets $31mn pay","US bank JPMorgan Chase awarded its billionaire CEO Jamie Dimon $31 million in total compensation for 2018, a 5.1% increase from previous year. JPMorgan recorded the highest profit in US banking history in 2018 at $32.5 billion. This was the second-biggest pay package the 62-year-old has received since he became CEO, trailing the $49.9 million of reported compensation for 2007."
Emraan Hashmi's 'Why Cheat India' leaked online: Reports,"Emraan Hashmi's 'Why Cheat India', which released on Friday, was reportedly leaked online by piracy website TamilRockers on its domain for download. TamilRockers, which uploads pirated versions of Tamil, Telugu, Hindi, English, Malayalam and Kannada films on their site, keeps changing its domain extension. The film also stars Shreya Dhanwanthary who is known for Telugu film 'Sneha Geetham'."
TV actress Saumya Tandon blessed with baby boy: Reports,"Television actress and host Saumya Tandon and her husband Saurabh have been blessed with a baby boy, as per reports. The actress earlier took to Instagram to announce her pregnancy and wrote, ""The big news-I'm pregnant and trying to soak in every moment of it!"" Saumya is known for her role in the television show 'Bhabiji Ghar Par Hai'."
Historic victories: Anushka on India's ODIÃ¢Â€Â‰series win over Aus,"Congratulating Indian cricket team on their ODI series win over Australia, Anushka Sharma posted a picture of Team India and wrote, ""Happy to have witnessed the historic victories by the men...Huge congratulations."" ""What an unforgettable and outstanding tour it's been,"" she further wrote. India became the first visiting side to win a bilateral series in all three formats in Australia."
 Still resisting botox: Karan shares '10 Year Challenge' pic,"As part of the viral '10 Year Challenge', filmmaker Karan Johar took to Instagram to share two pictures of himself, one taken in 2009 and the other from 2019. ""A decade! High on hair dye but still resisting botox!"" the filmmaker wrote in his caption. ""I hope this feeling lasts!"" Karan added."
Govt asks for safety chip in drones to avoid mishaps: Report,"The government has reportedly asked drone manufacturers to install safety chips for switching off drones remotely to avoid mishaps. This was reportedly suggested in a meeting with the MoS Civil Aviation Jayant Sinha at the Global Aviation Summit. The suggestion was followed by discussions on events involving drones, like the closure of London's Gatwick and Heathrow airports over drone sightings."
SoftBank to acquire 40% stake in FirstCry for $400mn: Report,Japanese conglomerate SoftBank is reportedly set to invest $400 million to acquire a 40% stake in Pune-based baby products startup FirstCry at a valuation of around $600-700 million. This comes after previous reports claimed that FirstCry may raise at least $150 million at an $800-900 million valuation from SoftBank. FirstCry was founded in 2010 by Supam Maheshwari and Amitava Saha.
ISRO to give over 100 students chance to launch satellites,"ISRO Chairman K Sivan has said the space agency may launch functional satellites developed by students under its Young Scientists Programme. The programme will select three students from each state and union territories of India. Mostly eighth-standard pass students will be selected for the one-month programme and will be given lectures and access to ISRO's labs, Sivan said."
45-yr-old spectator dies of heart attack at Jallikattu: Reports,"A 45-year-old man, witnessing a Jallikattu event from the spectators' gallery in Tamil Nadu's Madurai, died of a heart attack during the event, as per reports. As many as 40 bull-tamers were also injured during the event across the state on Thursday. On Tuesday, around 49 people were injured on the first day of the Jallikattu festival in Tamil Nadu."
Myanmar Army kills 13 rebels in Rakhine State,"The Myanmar Army has killed 13 rebels belonging to the Arakan Army (AA) in the violence-hit Rakhine State, a military spokesperson said on Friday. The rebels had killed Myanmar police officers on January 4 as Myanmar celebrated Independence Day. Fighting between security forces and AA has forced around 5,000 civilians to flee their homes since early December, according to UN."
Govt approves inducting women as jawans in Army's Military Police,"Defence Minister Nirmala Sitharaman has approved induction of women as jawans in the Army's Corps of Military Police. ""The women will be inducted in graded manner to eventually comprise 20% of total Corps of Military Police,"" the ministry stated. Their roles would include probing rape and molestation cases, assisting the Army wherever required, searching or frisking women, among other duties."
AB de Villiers hit ODIs' fastest hundred in 40 minutes,"Ex-South Africa batsman AB de Villiers slammed the fastest ODI hundred off 31 balls against Windies in 40 minutes on January 18, 2015. He came to bat in the 39th over and scored a 44-ball 149 in 59 minutes, hitting 16 sixes and 9 fours. De Villiers overtook New Zealand's Corey Anderson, who had smashed a 36-ball ton in 2014."
Moved into Deepika's house as I didn't want to displace her: Ranveer,"Actor Ranveer Singh has said that after his marriage with Deepika Padukone, he moved into the actress' house as she was comfortable there and he did not want to ""displace her"". ""I always try to give her priority,"" Ranveer said. ""I've grown up seeing a marriage where the attitude is to make it work regardless of anything,"" he further added."
Banksy artwork found on garage wall in UK sold for over Ã¢Â‚Â¹92 lakh,"Street artist Banksy's artwork, which appeared on a garage wall in UK's Port Talbot in December, was sold for over Ã¢Â‚Â¹92 lakh to art dealer John Brandler. Brandler said 'Season's Greetings', sold by the garage owner, would stay at Port Talbot for at least 2-3 years. Security was hired to protect the mural after it appeared on a steelworker's garage."
Mumbai U-16 cricket team captain banned for 3 years for exposing,"The Mumbai Cricket Association has banned Mumbai Under-16 captain for three years for exposing in front of his teammate and using bad words during an altercation. In the notice sent to the 13-year-old, the MCA said he was guilty of ""gross misconduct and bringing the name of the association to disrepute"". The player's ban will end on January 14, 2022."
Would like Randeep Hooda to play me in my biopic: Yuzvendra Chahal,"India leg-spinner Yuzvendra Chahal, in a recent interview, said actor Randeep Hooda would be the perfect choice to portray him onscreen if there's a biopic made on his life. In the interview, the former Under-12 national chess champion also said chess is easier to play than cricket. He further said that he grew up idolising former Australia spinner Shane Warne."
"If not for Balasaheb, even Hindus would've had to offer namaz: Sena","Explaining the importance of memorials for Chhatrapati Shivaji and Bal Thackeray, Shiv Sena said, ""Had Shivaji not been there, Pakistan's boundaries would have come to your doorstep and had Balasaheb not been there, even Hindus would have had to offer namaz."" This comes after construction of Ã¢Â‚Â¹3,600-crore Shivaji memorial in Arabian Sea was challenged in the Supreme Court."
Bhopal to become India's first city to have crematorium for cows,"India's first crematorium for cows, named 'gau mukti dham', will soon be built in Madhya Pradesh's Bhopal, city's Mayor Alok Sharma informed on Thursday. While the Bhopal Municipal Corporation is looking for a piece of land for the crematorium, the state's Animal Husbandry Minister Lakhan Singh has directed officials to start a drive to clear the city off stray cattle."
UP cabinet renames Mughalsarai tehsil as Deen Dayal Upadhyaya,"The Uttar Pradesh cabinet on Friday approved the proposal to rename Mughalsarai tehsil as Pandit Deen Dayal Upadhyaya tehsil after the late RSS leader. In August 2018, CM Yogi Adityanath's government renamed Mughalsarai Junction, India's biggest British-era railway station, to Deen Dayal Upadhyaya Junction. Upadhyaya was found dead under mysterious circumstances near the station in 1968."
Happy to be compared with Vidya: Richa on role in 'Shakeela',"Richa Chadha said she takes comparisons between her upcoming film 'Shakeela' and Vidya Balan's 'The Dirty Picture' ""in the right spirit"". ""SheÃ¢Â€Â™s a wonderful actor...If people are comparing, let them,Ã¢Â€Â she added. While Vidya portrayed South Indian adult film actress Silk Smitha in 'The Dirty Picture', Richa will play adult film actress Shakeela in the upcoming biopic."
Anurag Kashyap to write script for Kill Bill remake: Reports,"Filmmaker Anurag Kashyap will be writing the script for the upcoming Bollywood remake of the Quentin Tarantino directorial 'Kill Bill', as per reports. The Hindi remake rights for the film have been acquired by filmmaker Nikhil Dwivedi's production house, reports further said. The film will reportedly be shot in Mumbai and Sikkim as well as in Bhutan and Japan."
We are not opposing 'Manikarnika': Shri Rajput Karni Sena,"Shri Rajput Karni Sena national spokesperson Retired Major Himanshu said the outfit isn't involved in protests against the upcoming film 'Manikarnika: The Queen of Jhansi'. ""These people...are using the name of Karni Sena for their own vested interests,"" he added. Earlier reports stated the Maharashtra wing of the Karni Sena protested against the film for allegedly maligning Rani Laxmibai's image."
Number 4 position is something we want solidified: Kohli,"Talking about the number four spot in the Indian team's lineup, Indian captain Virat Kohli said, ""The number four position, again, has been a sort of an area which we want solidified."" ""Anyone who bats at four will have to take the responsibility for the World Cup... That person will have to take responsibility at number four,"" Kohli added."
Well done boys: Harbhajan on India's ODI series win,"Reacting to India's ODI series win in Australia, part of cricketer Harbhajan Singh's tweet read, ""Super Game of [cricket] well done boys."" ""Om Finishaya Namah! Test Series, ODI Series,"" read Virender Sehwag's tweet. ""Super successful test series and India addressing all the concerns in the ODI side in style,"" tweeted former cricketer Mohammad Kaif."
Ronaldo helps Juventus beat AC Milan in Supercoppa Finals,"Cristiano Ronaldo scored the match-winning goal to help his side Juventus beat AC Milan to lift the trophy at the 31st annual Supercoppa Italiana. ""Ronaldo? We always say the same thing... that's why we signed him. He is decisive and scores big goals, but the whole team put in a good performance,"" Juventus coach Massimiliano Allegri said."
Vinesh 1st Indian athlete to be nominated for Laureus Awards,"Indian wrestler Vinesh Phogat has become the first Indian athlete to receive a nomination in the Laureus World Sports Awards to be held on February 18. The 24-year-old, who won gold medals at the Gold Coast Commonwealth Games and the Jakarta Asian Games, has been nominated for the Laureus World Comeback of the Year award."
Ex-captain Sardar Singh named in Hockey India selection committee,"Former captain Sardar Singh has been included in a 13-member Hockey India selection committee. The team will be headed by BP Govinda, a member of the 1975 World Cup-winning team. ""Yes, I was offered the role and I accepted it. It is a new challenge for me and I am always eager to serve Indian hockey,"" Sardar said."
Twitter bug exposed some Android users' tweets for 4 years,"Micro-blogging platform Twitter has revealed that a bug had exposed private tweets of some Android users for over four years between November 3, 2014, and January 14, 2019. Twitter said the bug disabled the ""Protect your Tweets"" setting if certain account changes, such as changing e-mail address, were made. It added that iOS or Twitter web users were not impacted."
Opposition rally show of unity and hope: Rahul to Mamata ,"Congress President Rahul Gandhi has written a letter to West Bengal CM Mamata Banerjee, showing his support for her 'United India Rally' that will take place in Kolkata on Saturday. ""I extend my support...on this show of unity and hope...we send a powerful message of a united India"", the letter read. As per reports, Rahul won't be attending the rally. "
BJP approached our MLAs with Ã¢Â‚Â¹50-70 crore: Siddaramaiah,"Congress leader Siddaramaiah has alleged that BJP had approached Congress MLAs from Karnataka with ""offers of Ã¢Â‚Â¹50-70 crore"". This comes after three Congress MLAs didn't turn up at the Congress Legislature Party meeting held on Friday. ""PM Narendra Modi, Amit Shah...are involved in this process of destabilising our government...How come a 'chowkidar' has so much money?"" Siddaramaiah said."
Pro-tem speaker from AIMIM: BJP MLA on refusing to take oath,"Refusing to take oath as a legislator, BJP MLA from Telangana, Raja Singh said he had done so as the pro-tem Speaker, Mumtaz Ahmed Khan, is from AIMIM party. ""[AIMIM] is an anti-national party. I'll take oath once official speaker is announced,"" he added. Khan was appointed as Speaker to preside over the first day of the newly-elected Telangana Assembly."
"Cong declares Ã¢Â‚Â¹199 cr income for 2017-18, lowest in 11 yrs","Congress has declared a total income of Ã¢Â‚Â¹199 crore for 2017-18, its lowest in 11 years, according to the annual audit report filed by the party. Of the total income, Ã¢Â‚Â¹110 crore was collected by selling coupons to small donors, while Ã¢Â‚Â¹32 crore was received in donations and other contributions. Congress' expenditure amounted to Ã¢Â‚Â¹197 crore in the year 2017-18.n"
"7,000 apply for 13 waiter posts in Maharashtra secretariat: Report","As many as 7,000 persons, mostly graduates, had applied for 13 vacant posts of canteen waiters in Mantralaya, the Maharashtra secretariat, an official said. ""Of the 13 selected persons, 12 are graduates and one has passed Class 12,"" he added. As per the eligibility criteria, a minimum educational qualification of class four is required to apply for the post."
"Man calls PCR threatening to kill PM Modi, arrested","A Delhi-based man has been arrested for allegedly calling up the police control room (PCR) and threatening to kill Prime Minister Narendra Modi. The man called the PCR on Thursday and hurled abuses at the PM and other leaders, as per reports. During interrogation, he claimed to be drunk while making the call as he had suffered losses in business."
Duterte's drug war 'example to the world': Sri Lanka President,"Sri Lankan President Maithripala Sirisena praised his Filipino counterpart Rodrigo Duterte's war on drugs, calling it an ""example to the world"". ""Drug menace is rampant in my country and I feel that we should follow your footsteps to control this hazard,"" Sirisena told Duterte. More than 5,000 people have been killed in Duterte's drug war, which has been condemned globally."
France activates Ã¢Â‚Â¹405 crore no-deal Brexit plan,"France has triggered a plan for a no-deal Brexit after the British Parliament rejected PM Theresa May's deal. Five decrees that will cover different aspects of Britain-France ties will be issued within three weeks, French PM ÃƒÂ‰douard Philippe said. Around Ã¢Â‚Â¬50 million (around Ã¢Â‚Â¹405 crore) would be invested in ports and airports, focusing on control points and parking areas."
China censors earrings of male actors: Reports,Chinese TV programmes appeared to be censoring earrings worn by male actors by blurring their earlobes as it is reportedly against the Chinese government's view of masculinity. Doctored images of male actors were also posted online. Reports had earlier claimed that Chinese authorities had banned TV stations from featuring actors with tattoos and hip-hop singers.
"Better not to be in Delhi, it's like a gas chamber: Supreme Court","A Supreme Court bench while expressing despair over the lack of pollution control measures in Delhi said that the national capital has become a ""gas chamber"" with ""so much pollution and traffic congestion in the morning and evening"". Meanwhile, Justice Arun Mishra said, ""It is better not to be in Delhi. I do not wish to settle in Delhi."""
"67-year-old man wins Ã¢Â‚Â¹4.8 cr in Poker, donates money to charity","Canada's 67-year-old poker player Scott Wellenbach, who came in third at a poker tournament in the Bahamas and won Ã¢Â‚Â¹4.8 crore, is donating majority of his prize money to a charity. ""Being a practitioner of Buddhism, we sit around and meditate a lot...and that's free,"" Scott said. He also works as a translator of Tibetan and Sanskrit Buddhist texts. "
"I'm also Rajput, will destroy each one of them: Kangana to Karni Sena","Actress Kangana Ranaut claimed that Karni Sena is harassing her over her film 'Manikarnika: The Queen of Jhansi' and added, ""I am also a Rajput and I will destroy each one of them."" Karni Sena reportedly threatened the film's makers of consequences if Rani Laxmibai's image is maligned. ""Four historians certified Manikarnika, we have got censor certificate too,"" Kangana said."
"Courts ko aur kaam nahi hai kya? Swara on Pandya, Rahul's SC hearing","After CoA sought Supreme Court's views on punishment to cricketers Hardik Pandya and KL Rahul for their comments on women, actress Swara Bhasker tweeted, ""Aur koi kaam nahi hai kya hamaarey courts ke paas?"" She added, ""I'm a staunch feminist...But really? Being crass is not a crime!"" The cricketers have been suspended from playing pending enquiry."
27-year-old man jumps from 11th floor of cruise for Instagram video,"Washington's 27-year-old Nick Naydev jumped straight into the water from the 11th floor of a Royal Caribbean cruise ship docked in the Bahamas for an Instagram video. In the video of the incident shared by Naydev, his friends can be seen encouraging him for the act. Royal Caribbean has banned him and his friends from sailing with them ever again."
Have a report Amit Shah has no flu: Cong MP after 'pig fever' jibe,"A day after his 'pig fever' remark against BJP President Amit Shah, Congress MP BK Hariprasad said, ""We have a report that he (Shah) doesn't have any flu."" ""We also know people in AIIMS, they said he is not admitted because of the flu. Let me get the facts then I will get back to you (media),"" he added."
